Id,Name,description,Rating,Current_Price,Original_Price,Discount,Operating_System,Launch_Year,Warranty_years
179,LG 123 cm , Ultra HD (4K,4.5,"68,900","68,990",None, WebOSUltra HD (4K) 3840 x 2160 Pixels,2018,1
180,Sansui 80 cm , HD Ready LED Smart Android TV,4.1,"11,764","20,990",43%, AndroidHD Ready 1366 x 768 Pixels,1,Year
181,SAMSUNG Series 8 123 cm , Ultra HD (4K,4.4,"97,990","1,29,900",24%, TizenUltra HD (4K) 3840 x 2160 Pixels,2018,1
182,Blaupunkt CyberSound G2 Series 100 cm , Full HD LED Smart Android TV 2023 Edition with Dolby D...,4.4,"15,999","26,999",40%, AndroidFull HD 1080 x 1920 Pixels,2023,1
183,SAMSUNG 80 cm , HD Ready LED Smart Tizen TV with SMART TV TIZEN HD,4.4,"15,240","22,900",33%, TizenHD Ready 1366 x 768 Pixels,2020,1
184,TOSHIBA C350LP Series 126 cm , Ultra HD (4K,4.3,"33,999","54,990",38%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
185,SONY Bravia X74K 138.8 cm , Ultra HD (4K,4.6,"54,990","99,900",44%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
186,SONY Bravia 189 cm , Ultra HD (4K,4.7,"1,44,990","2,99,990",51%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2021,1
187,Sansui 80 cm , HD Ready LED Smart Google TV 2023 Edition,4.2,"11,999","21,490",44%, Google TVHD Ready 1366 x 768 Pixels,2023,1
188,Acer Advanced I Series 189 cm , Ultra HD (4K,4.3,"79,999","1,49,990",46%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
189,Dyanora Sigma 60 cm , HD Ready LED Smart Linux TV with 20 Watt Box Speakers,4,"6,999","12,499",44%, LinuxHD Ready 1366 x 768 Pixels,2023,NA
190,LG 164 cm , Ultra HD (4K,4.5,"74,990","1,29,990",42%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
191,Thomson World Cup 108 cm , Full HD LED Smart Linux TV 2023 Edition with 40 W Sound Output & Be...,4.4,"15,499","22,999",32%, LinuxFull HD 1920 x 1080 Pixels,2023,1
192,Hisense U7H 139 cm , QLED Ultra HD (4K,4.3,"54,999","79,990",31%, VIDAAUltra HD (4K) 3840 x 2160 Pixels,2022,2
193,Blaupunkt Cybersound 106 cm , Full HD LED Smart Android TV with 40W Speaker,4.4,"16,999","29,999",43%, AndroidFull HD 1920 x 1080 Pixels,2021,1
194,InnoQ 2024 Frameless 80 cm , HD Ready LED Smart Android Based TV with 5000+ Movies | Voice Con...,3.9,"7,995","27,990",71%, Android BasedHD Ready 1366 x 768 Pixels,2024,1
195,TCL 139 cm , Ultra HD (4K,4.1,"37,990","79,990",52%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
196,SAMSUNG Crystal 4K Vivid 138 cm , Ultra HD (4K,4.3,"43,990","64,900",32%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
197,Blaupunkt Cybersound 80 cm , HD Ready LED Smart Android TV with 40W Speaker,4.4,"9,999","19,499",48%, AndroidHD Ready 1366 x 768 Pixels,2021,1
198,TOSHIBA C350LP 108 cm , Ultra HD (4K,4.3,"27,999","34,990",19%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
199,KODAK 106 cm , Full HD LED Smart Android TV 2023 Edition with Android 11 and Dolby Digital Plu...,4.4,"15,499","28,499",45%, AndroidFull HD 1080 x 1920 Pixels,2023,1
200,SAMSUNG 138 cm , QLED Ultra HD (4K,4.4,"62,990","99,990",37%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,2
201,Haier 109 cm , Full HD LED Smart Android TV 2023 Edition with HDR 10,4.2,"23,990","35,990",33%, AndroidFull HD 1920 x 1080 Pixels,2023,1
202,TCL P635 164 cm , Ultra HD (4K,4.1,"49,990","1,24,990",60%, Google TVUltra HD (4K) 3840 x 2161 Pixels,2022,2
203,TOSHIBA C350MP 139 cm , Ultra HD (4K,4.3,"35,990","59,990",40%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
204,KODAK Matrix 189 cm , QLED Ultra HD (4K,4.6,"99,999","1,49,999",33%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
205,SONY Bravia 163.9 cm , Ultra HD (4K,4.7,"79,990","1,39,900",42%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
206,KODAK 7X Pro 98 cm , Full HD LED Smart Android TV,4.4,"15,999","20,999",23%, AndroidFull HD 1920 x 1080 Pixels,2020,1
207,Hisense A6H 189 cm , Ultra HD (4K,4.2,"99,999","1,19,990",16%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
208,SONY Bravia X74K 108 cm , Ultra HD (4K,4.6,"39,990","69,900",42%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
209,Mi 5X 138.8 cm , Ultra HD (4K,4.3,"41,999","69,999",40%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
210,Sansui 178 cm , Ultra HD (4K,4.2,"69,999","96,900",27%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
211,Blaupunkt Cyber Sound 164 cm , Ultra HD (4K,4.5,"47,999","75,999",36%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
212,Haier 108 cm , Ultra HD (4K,4.1,"27,990","45,990",39%, Google TVUltra HD (4K) 3840 × 2160 Pixels,2023,2
213,XElectron 60 cm , HD Ready LED TV 2023 Edition,4.2,"5,999","13,999",57%,,2023,1
214,SAMSUNG 138 cm , Ultra HD (4K,3.6,"2,52,990","2,84,900",11%, TizenUltra HD (4K) 3840 x 2160 Pixels,2016,1
215,SAMSUNG Crystal 4K Vivid 125 cm , Ultra HD (4K,4.3,"44,990","61,900",27%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
216,LG UQ7500 164 cm , Ultra HD (4K,4.4,"69,990","1,14,990",39%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
217,TCL 138.71 cm , Ultra HD (4K,4.1,"35,990","77,990",53%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
218,Acer V Series 139 cm , QLED Ultra HD (4K,4,"34,999","69,999",50%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
219,Blaupunkt 164 cm , QLED Ultra HD (4K,4.6,"47,999","84,999",43%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
220,Infinix 109 cm , QLED Ultra HD (4K,4.1,"21,999","29,999",26%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
221,MOTOROLA ZX Pro 109 cm , Ultra HD (4K,4.3,"31,990","46,999",31%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
222,Thomson OATHPRO Series 164 cm , Ultra HD (4K,4.5,"53,837","70,499",23%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
223,Dyanora AU Series 108 cm , Full HD LED Smart Android TV,4.1,"16,999","32,999",48%, AndroidFull HD 1920 x 1080 Pixels,2024,1
224,LG Nanocell 139 cm , Ultra HD (4K,4.4,"56,990","1,09,990",48%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
225,SONY Bravia 138.8 cm , Ultra HD (4K,4.7,"74,890","1,09,990",31%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2021,1
226,Thomson R9 80 cm , HD Ready LED TV,4.1,"7,999","14,990",46%,,2018,1
227,SONY Bravia 108 cm , Ultra HD (4K,4.7,"57,990","82,990",30%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2021,1
