Id,Name,description,Rating,Current_Price,Original_Price,Discount,Operating_System,Launch_Year,Warranty_years
446,SAMSUNG 163 cm , Ultra HD (4K,None,"69,990","1,04,972",33%, TizenUltra HD (4K) 3840x2160 Pixels,2023,1
447,LG Nanocell 139 cm , Ultra HD (4K,4.6,"54,990","1,29,990",57%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
448,TOSHIBA C350LP 139 cm , Ultra HD (4K,4.3,"38,668","54,990",29%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
449,iFFALCON by TCL 79.97 cm , HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,4.2,"15,490","18,990",18%, AndroidHD Ready 1366 x 768 Pixels,2018,1
450,SONY Bravia A80L 194.7 cm , OLED Ultra HD (4K,4.9,"4,46,490","6,99,900",36%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
451,SAMSUNG 8 163 cm , Ultra HD (4K,None,"69,990","1,35,900",48%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
452,SONY 138.8 cm , Ultra HD (4K,4.6,"73,990","1,29,900",43%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2021,1
453,LG 139.7 cm , Ultra HD (4K,4.3,"50,999","63,233",19%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,3
454,TCL P635 Pro 126 cm , Ultra HD (4K,4.1,"33,990","66,990",49%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
455,SAMSUNG Q Series 138 cm , QLED Ultra HD (4K,4.2,"2,90,490","3,44,900",15%, TizenUltra HD (4K) 3840 x 2160 Pixels,2017,1
456,SAMSUNG Q80BAKL 138 cm , QLED Ultra HD (4K,None,"84,990","1,61,900",47%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
457,SONY Bravia 138.8 cm , Ultra HD (4K,4.6,"99,990","1,69,990",41%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
458,SONY Bravia X90L 138.8 cm , Ultra HD (4K,4.8,"1,18,740","1,69,900",30%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
459,SONY Bravia A8F 163.9 cm , OLED Ultra HD (4K,4.4,"2,59,999","4,49,900",42%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2018,1
460,MOTOROLA EnvisionX Spectra Mini LED 165 cm , Ultra HD (4K,4.5,"61,999","96,999",36%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,1
461,CANDY 108 cm , Ultra HD (4K,4.5,"24,990","35,000",28%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
462,TCL P635 Pro 164 cm , Ultra HD (4K,4.1,"51,999","1,26,990",59%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
463,LG 165.1 cm , Ultra HD (4K,None,"79,990","1,69,990",52%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
464,Acer 109 cm , Ultra HD (4K,4.5,"36,990",,None, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,3
465,Hyundai 140 cm , Ultra HD (4K,4.3,"50,999","97,990",47%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,NA
466,SAMSUNG Series 7 123 cm , Ultra HD (4K,4.5,"64,499","99,900",35%, TizenUltra HD (4K) 3840 x 2160 Pixels,2018,1
467,SAMSUNG 7 125 cm , Ultra HD (4K,4.9,"49,490","69,900",29%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
468,TCL C645 108 cm , QLED Ultra HD (4K,4.3,"29,999","61,990",51%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
469,SAMSUNG Q60RAK 138 cm , QLED Ultra HD (4K,4.4,"1,21,999","1,43,900",15%, TizenUltra HD (4K) 3840 x 2160 Pixels,2019,1
470,Acer I Series 164 cm , Ultra HD (4K,4.3,"78,000",,None, AndroidUltra HD (4K) 3840 x 2160 Pixels,2023,2
471,Hisense A6K 189 cm , Ultra HD (4K,4.2,"94,999","1,49,999",36%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
472,Hisense A6H 126 cm , Ultra HD (4K,4.3,"59,999",,None, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
473,SAMSUNG 6 163 cm , QLED Ultra HD (4K,None,"1,04,990","2,09,990",50%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
474,Mi 5X 125.7 cm , Ultra HD (4K,4.3,"39,999","59,999",33%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
475,LG 139.7 cm , Ultra HD (4K,4.8,"49,990","89,990",44%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1Year
476,Thomson 9R PRO 108 cm , Ultra HD (4K,4.3,"17,999","33,999",47%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
477,LG 164 cm , Ultra HD (4K,None,"2,73,990","2,89,900",5%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2017,1
478,LG 108 cm , Ultra HD (4K,4.4,"31,990","59,990",46%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
479,LG UQ8020 108 cm , Ultra HD (4K,4.5,"36,990","59,990",38%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
480,SONY Bravia 126 cm , Ultra HD (4K,4.9,"56,890","84,990",33%,,2021,1
481,SAMSUNG Neo,,4.7,"2,12,490","2,49,900",14%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
482,TCL C645 126 cm , QLED Ultra HD (4K,4.3,"40,990","1,14,990",64%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
483,Panwood 140 cm , Ultra HD (4K,3.6,"29,990","59,000",49%,,2023,NA
484,SONY 139 cm , Ultra HD (4K,4.8,"94,147","1,29,990",27%, Android BasedUltra HD (4K) 3840 x 2160 Pixels,2020,1
485,SKYTRON 108 cm , Full HD LED Smart Android Based TV,3.7,"14,499","34,999",58%, Android BasedFull HD 1920 x 1080 Pixels,2022,1
486,TCL P615 108 cm , Ultra HD (4K,4.4,"26,900","51,990",48%,,2020,2
487,SONY Bravia 139 cm , Ultra HD (4K,3.6,"1,09,999","1,64,900",33%,,2016,1
488,SAMSUNG QN90BAKL 138 cm , QLED Ultra HD (4K,5,"1,07,990","2,19,900",50%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
489,SAMSUNG 7 125 cm , Ultra HD (4K,None,"47,990","64,900",26%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
490,Mi Q1 138.8 cm , QLED Ultra HD (4K,4.4,"59,999",,None, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,1
491,SAMSUNG Q60BAKL 125 cm , QLED Ultra HD (4K,3.5,"63,990","99,990",36%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
492,SAMSUNG Neo QLED 163 cm , QLED Ultra HD (4K,None,"2,19,990","3,29,900",33%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
493,SKYTRON 140 cm , Ultra HD (4K,4.1,"29,999","79,990",62%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
494,CORNEA Bezelless 218 cm , Ultra HD (4K,None,"1,80,199","2,99,999",39%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,NA
495,SONY Bravia A80L 163.9 cm , OLED Ultra HD (4K,4.9,"2,29,990","3,49,900",34%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
496,TCL 108 cm , QLED Ultra HD (4K,4.1,"29,490","59,000",50%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
497,Coocaa Frameless 138 cm , Ultra HD (4K,4.2,"23,999","85,990",72%, CoolitaUltra HD (4K) 3840 x 2160 Pixels,2023,1
498,SAMSUNG 109 cm , Ultra HD (4K,4.7,"42,890","54,900",21%, TizenUltra HD (4K) 3840×2160 Pixels,2023,2
499,LG 139 cm , OLED Ultra HD (4K,4.5,"1,56,999","2,14,990",26%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2018,1
500,LG CX 164 cm , OLED Ultra HD (4K,4.2,"1,69,990","3,79,990",55%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
501,SAMSUNG 7 163 cm , Ultra HD (4K,None,"69,990","1,15,990",39%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
502,LG 165.1 cm , Ultra HD (4K,None,"84,990","1,39,990",39%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
503,Mi 4X 138.8 cm , Ultra HD (4K,4.3,"46,290","49,999",7%, Android BasedUltra HD (4K) 3840 x 2160 Pixels,2019,1
504,CANDY 165 cm , QLED Ultra HD (4K,4.3,"52,990","69,990",24%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,2
505,SAMSUNG Series 4 59 cm , HD Ready LED TV,4.2,"9,431","15,200",37%,,2016,1
506,Haier 165 cm , Ultra HD (4K,3.9,"70,990","1,15,990",38%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
507,SAMSUNG BU8570UL 108 cm , Ultra HD (4K,4.5,"42,490","64,900",34%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
508,TCL 126 cm , QLED Ultra HD (4K,4.1,"44,990","1,12,990",60%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
509,DETEL 140 cm , Ultra HD (4K,4.1,"34,671","89,000",61%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2019,NA
510,Panasonic FX650 Series 108 cm , Ultra HD (4K,4.3,"41,999","84,900",50%, Linux basedUltra HD (4K) 3840 x 2160 Pixels,2018,1
511,LG 190.5 cm , Ultra HD (4K,None,"1,19,990","2,79,990",57%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
512,SONY Bravia 108 cm , Full HD LED Smart Linux based TV,4.5,"40,839","44,900",9%, Linux basedFull HD 1920 x 1080 Pixels,2020,1
513,SAMSUNG 6 125 cm , QLED Ultra HD (4K,3.7,"64,990","89,990",27%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
514,SAMSUNG Series 8 189 cm , Ultra HD (4K,None,"3,74,990","5,99,900",37%, TizenUltra HD (4K) 3840 x 2160 Pixels,2018,1
515,LG Nanocell 139 cm , Ultra HD (4K,4.8,"1,40,520","1,66,990",15%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
516,LG 164 cm , OLED Ultra HD (4K,None,"1,79,990","3,19,990",43%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
517,SAMSUNG 9 108 cm , Ultra HD (4K,4.1,"58,201","60,938",4%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
518,TCL C725 164 cm , QLED Ultra HD (4K,4.1,"78,990","1,59,990",50%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,2
519,SONY Bravia 139 cm , Ultra HD (4K,None,"79,990","1,39,900",42%,,2021,1
520,ONIDA 139 cm , Ultra HD (4K,4.4,"36,999","68,990",46%, VIDAAUltra HD (4K) 3840 x 2160 Pixels,2022,1
521,CANDY 109 cm , Full HD LED Smart Android TV 2023 Edition,4.1,"17,990","28,900",37%, AndroidFull HD 1920 x 1080 Pixels,2023,2
522,Mi 4A Horizon Edition 100 cm , Full HD LED Smart Android TV with FHD | DTS,4.3,"29,999",,None, AndroidFull HD 1920 x 1080 Pixels,2021,1
523,Vu Cinema 139 cm , Ultra HD (4K,4.2,"35,998","55,000",34%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2024,1
524,SKYTRON 108 cm , Ultra HD (4K,4.1,"19,216","59,990",67%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
525,MarQ by Flipkart 109 cm , Full HD LED Smart Coolita TV,4.2,"15,249","45,990",66%, CoolitaFull HD 1280 x 720 Pixels,2023,1
526,KODAK 7XPro 108 cm , Ultra HD (4K,4.3,"19,999","33,999",41%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,1
527,SAMSUNG 139 cm , QLED Ultra HD (4K,4.6,"68,580","1,34,900",49%, TizenUltra HD (4K) 3840 x 2160 Pixels,2020,1
528,SONY Bravia 80 cm , HD Ready 3D LED Smart Android TV,4.5,"29,500","35,999",18%, AndroidHD Ready 1366 x 768 Pixels,2021,1
529,Dyanora 100 cm ," HD Ready LED Smart Android Based TV with Noise Reduction,Android 9.0,Google V...",4,"13,499","23,999",43%, Android BasedHD Ready 1366 x 768 Pixels,2021,NA
530,LG 139 cm , Ultra HD (4K,4.8,"1,04,990",,None, WebOSUltra HD (4K) 3840 x 2160 Pixels,2018,1
531,SAMSUNG QN700BK 163 cm , QLED Ultra HD (8K,None,"2,59,990","3,84,990",32%, TizenUltra HD (8K) 7680 x 4320 Pixels,2022,1
532,LG 139.7 cm , Ultra HD (4K,4,"70,200","79,990",12%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2019,1
533,SAMSUNG 7 163 cm , Ultra HD (4K,None,"69,990","1,24,990",44%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
534,IMPEX Grande 55 Smart AU00 Google Certified Tv 139 cm , Ultra HD (4K,None,"38,990","70,990",45%,,2022,NA
535,LG 139 cm , Ultra HD (4K,4.4,"99,999","1,77,990",43%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2018,1
536,SAMSUNG 139 cm , Ultra HD (4K,3.9,"54,990","86,900",36%, TizenUltra HD (4K) 3840 x 2160 Pixels,2020,1
537,LG 139 cm , OLED Ultra HD (4K,4.7,"1,59,999","2,14,990",25%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2018,1
538,SAMSUNG Neo QLED 214 cm , QLED Ultra HD (4K,4.7,"6,54,990","7,99,900",18%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
539,LG 164 cm , OLED Ultra HD (4K,5,"2,19,990","3,99,990",45%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
540,InnoQ 2024 Bluetooth Frameless 108 cm , Full HD LED Smart Android Based TV with 5000+ Movies |...,3.9,"14,990","43,990",65%, Android BasedFull HD 1920 x 1080 Pixels,2024,1
541,SAMSUNG 163 cm , QLED Ultra HD (4K,None,"1,59,990","2,84,990",43%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
542,SAMSUNG Neo QLED 138 cm , QLED Ultra HD (4K,4.7,"1,40,490","2,04,925",31%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
543,SAMSUNG 9 163 cm , Ultra HD (4K,None,"1,14,990","1,45,900",21%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
544,Vu Pixelight 163 cm , Ultra HD (4K,4.2,"54,999","78,000",29%, LinuxUltra HD (4K) 3840 x 2160 Pixels,2019,1
545,LG OLED A3 164 cm , OLED Ultra HD (4K,4.4,"1,59,990","2,24,990",28%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
546,SAMSUNG Series 7 163 cm , Ultra HD (4K,4.1,"1,59,500","2,34,900",32%, TizenUltra HD (4K) 3840 x 2160 Pixels,2018,1
547,SONY Bravia 126 cm , Ultra HD (4K,None,"69,990","1,14,900",39%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,1
548,Mi 4A Horizon Edition 80 cm , HD Ready LED Smart Android TV with 20W Powerful Audio & Bezel,4.3,"19,999",,None, AndroidHD Ready 1366 x 768 Pixels,2020,1
549,iMEE Signature 127 cm , Ultra HD (4K,None,"35,999","49,999",28%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,NA
550,TRUSENSE TS 109 cm , Ultra HD (4K,None,"28,477","35,000",18%, WebOSUltra HD (4K) 4K Pixels,2023,NA
551,SAMSUNG 7 138 cm , Ultra HD (4K,3.3,"48,990","80,000",38%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
552,Thomson R9 60 cm , HD Ready LED TV,4.1,"6,299","10,499",40%,,2018,1
553,LG 164 cm , Ultra HD (4K,5,"1,02,060","2,19,990",53%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2018,1
554,SAMSUNG Neo QLED 163 cm , QLED Ultra HD (4K,None,"1,69,990","2,49,990",32%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
555,DETEL 108 cm , Full HD LED Smart Android TV,4.1,"23,147","44,900",48%, AndroidFull HD 1920 x 1080 Pixels,2019,NA
556,TCL P2MUS 163.8 cm , Ultra HD (4K,4,"79,999","1,49,900",46%, Android BasedUltra HD (4K) 3840 x 2160 Pixels,2018,18
557,SAMSUNG QN800BK 163 cm , QLED Ultra HD (8K,None,"2,99,990","4,59,990",34%, TizenUltra HD (8K) 7680 x 4320 Pixels,2022,2
558,TCL 139 cm , QLED Ultra HD (4K,4.1,"46,990","1,19,990",60%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2022,2
559,SAMSUNG BU8570UL 163 cm , Ultra HD (4K,None,"84,990","1,47,900",42%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
560,SAMSUNG Neo,,4.7,"1,56,990","1,84,900",15%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
561,Mi 4X 125.7 cm , Ultra HD (4K,4.4,"34,999",,None, AndroidUltra HD (4K) 3840 x 2160 Pixels,2019,1
562,LG Nanocell 164 cm , Ultra HD (4K,4.7,"89,999","2,29,900",60%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
563,Foxsky 102 cm , Full HD LED Smart Android TV,3.9,"12,499","38,499",67%, AndroidFull HD 1920 x 1080 Pixels,2023,1
564,LG 139.7 cm , Ultra HD (4K,None,"49,990","84,990",41%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
565,Haier 127 cm , Ultra HD (4K,4.2,"39,999","60,990",34%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
566,Reliance 81 cm ," HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless De...",None,"11,819","21,490",45%, AndroidHD Ready 1366 X 768 Px Pixels,2023,1
567,TCL C755 189.31 cm , Ultra HD (4K,None,"1,59,990","3,29,990",51%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
568,LG 164 cm , Ultra HD (4K,None,"73,990","1,24,990",40%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
569,Panasonic 139 cm , Ultra HD (4K,None,"50,800","67,990",25%, AndroidUltra HD (4K) ?3840x2160 Pixels,2023,1
570,Haier 108 cm , Ultra HD (4K,4.2,"33,999","43,990",22%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2020,2
571,LG 127 cm , Ultra HD (4K,4.3,"54,999","72,990",24%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2019,1
572,SAMSUNG Q Series 163 cm , QLED Ultra HD (4K,None,"4,69,900","4,70,900",None, TizenUltra HD (4K) 3840 x 2160 Pixels,2017,1
573,TCL P615 164 cm , Ultra HD (4K,4.4,"49,999","1,19,990",58%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,2
574,LG 121.92 cm , OLED Ultra HD (4K,3.3,"94,990","1,89,990",50%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
575,Sansui 178 cm , Ultra HD (4K,4.5,"64,990","96,900",32%, Google TVUltra HD (4K) ?3840 x 2160 Pixels,2023,1
576,LG 109.22 cm , Ultra HD (4K,4.3,"41,990","59,990",30%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
577,CORNEA Bezelless 190 cm , Ultra HD (4K,None,"1,18,999","1,99,999",40%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,NA
578,Panasonic 108 cm , Ultra HD (4K,3.7,"34,999","56,990",38%,,2021,1
579,AISEN 139 cm , Ultra HD (4K,None,"25,990","34,990",25%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2023,1
580,Mi 4A Horizon Edition 108 cm , Full HD LED Smart Android TV,4.3,"31,999",,None, AndroidFull HD 1920 x 1080 Pixels,2020,1
581,TRUSENSE TS 5000 126 cm , Ultra HD (4K,None,"34,399","45,000",23%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,NA
582,LG 139 cm , OLED Ultra HD (4K,5,"1,19,990","2,19,990",45%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
583,SAMSUNG 190 cm , Ultra HD (4K,None,"1,33,990","2,39,900",44%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
584,Lloyd 109 cm , Full HD LED Smart Android TV,4.8,"28,990","48,990",40%, AndroidFull HD 1920 x 1080 Pixels,2021,1
585,SONY Bravia X80L 125.7 cm , Ultra HD (4K,4.6,"75,990","1,14,900",33%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2023,1
586,CORNEA Bezelless 127 cm , Ultra HD (4K,5,"29,999","39,999",25%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,NA
587,LG 139 cm , OLED Ultra HD (4K,5,"1,44,990","2,54,990",43%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
588,SAMSUNG QN90BAKL 163 cm , QLED Ultra HD (4K,None,"1,79,990","3,04,900",40%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
589,LG 139 cm , OLED Ultra HD (4K,4.6,"1,09,900","2,49,990",56%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
590,KODAK X900 80 cm , HD Ready LED TV,4.1,"7,999","15,999",50%,,2017,1
591,SAMSUNG UHD 8 Series 108 cm , Ultra HD (4K,4.4,"37,990","56,900",33%, LinuxUltra HD (4K) 3840 x 2160 Pixels,2020,1
592,LG 139.7 cm , OLED Ultra HD (4K,None,"1,14,990","2,19,990",47%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
593,BeethoSOL 60 cm , HD Ready LED TV,4.1,"5,499","15,000",63%,,2022,NA
594,SAMSUNG The Frame 109.22 cm , QLED Ultra HD (4K,None,"64,990","79,900",18%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
595,LG Nanocell 164 cm , Ultra HD (4K,4,"99,990","2,09,900",52%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
596,LG 164 cm , Ultra HD (4K,None,"84,990","1,29,990",34%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
597,ZEBRONICS 80 cm , HD Ready LED Smart Android Based TV 2023 Edition,4,"11,999","23,999",50%, Android BasedHD Ready 1366 x 768 Pixels,2023,1
598,LG 109.22 cm , Ultra HD (4K,4.6,"36,990","59,990",38%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
599,TCL C825 139 cm , QLED Ultra HD (4K,4.5,"1,75,999","2,39,999",26%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2021,2
600,LG Nanocell 139 cm , Ultra HD (4K,4.7,"71,990","1,49,990",52%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
601,LG 139 cm , Ultra HD (4K,4,"59,990","71,990",16%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,3
602,SAMSUNG OLED 139.7 cm , OLED Ultra HD (4K,None,"2,04,990","2,34,900",12%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
603,SONY Bravia 80 cm , HD Ready LED Smart Google TV with With Alexa Compatibility,4.8,"26,500","35,450",25%, Google TVHD Ready 1366x768 Pixels,2022,1
604,SAMSUNG 165 cm , QLED Ultra HD (4K,None,"1,09,990","2,29,990",52%, TizenUltra HD (4K) 3840 x 2160 Pixels,2020,1
605,SAMSUNG 4 80 cm , HD Ready LED Smart Tizen TV,4.2,"18,990","24,900",23%, TizenHD Ready 1366 x 768 Pixels,2021,1
606,SONY Bravia 189 cm , Ultra HD (4K,None,"2,49,990","3,79,900",34%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,1
607,SAMSUNG OLED 139.7 cm , OLED Ultra HD (4K,None,"1,64,990","1,89,900",13%, TizenUltra HD (4K) 3840 x 2160 Pixels,2024,2
608,Thomson 9A Series 98 cm , Full HD LED Smart Android TV,4.3,"16,999","21,499",20%, AndroidFull HD 1920 x 1080 Pixels,2020,1
609,TCL C755 214.78 cm , Ultra HD (4K,None,"2,59,990","5,29,990",50%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
610,CORNEA Bezelless 165 cm , Ultra HD (4K,None,"55,999","74,999",25%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,NA
611,SAMSUNG Neo QLED 125 cm , QLED Ultra HD (4K,4.6,"97,989","1,19,990",18%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
612,LG C9 138 cm , OLED Ultra HD (4K,4.6,"1,49,999","2,29,990",34%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2019,1
613,LG UHD 190 cm , Ultra HD (4K,None,"1,19,990","2,69,900",55%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2020,1
614,Panasonic 138.8 cm , Full HD LED Smart Linux based TV,3.8,"86,999","1,12,900",22%, Linux basedFull HD 1920 x 1080 Pixels,2017,1
615,TOSHIBA C350NP 189 cm , Ultra HD (4K,4.3,"84,999","1,14,999",26%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
616,Hisense U7K 189 cm , Ultra HD (4K,4.3,"1,59,999","2,19,999",27%, VIDAAUltra HD (4K) 3840 x 2160 Pixels,2023,2
617,SAMSUNG 108 cm , Ultra HD (4K,3.2,"33,990","47,900",29%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
618,LG 139.7 cm , OLED Ultra HD (4K,4.3,"1,44,990","2,69,990",46%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
619,TCL 138.71 cm , QLED Ultra HD (4K,4.3,"44,990","79,990",43%, Google TVUltra HD (4K) 3840 x 2160 Pixels,2024,2
620,Mi 5A 80 cm , HD Ready LED Smart Android TV with HD Ready | Dolby Audio | DTS : X | DTS Virtua...,4.3,"25,999",,None, AndroidHD Ready 1366 x 768 Pixels,2022,1
621,SONY Bravia 189 cm , Ultra HD (4K,None,"1,44,990","2,69,900",46%, AndroidUltra HD (4K) 3840 x 2160 Pixels,2022,1
622,BeethoSOL 139 cm , Ultra HD (4K,None,"35,990","1,29,990",72%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,2
623,Lloyd 126 cm , QLED Ultra HD (4K,4.4,"38,990","54,890",28%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2023,1
624,LG 122.2 cm , OLED Ultra HD (4K,4.4,"1,25,990","2,19,900",42%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2022,1
625,SAMSUNG 214 cm , Ultra HD (4K,None,"4,39,900","4,49,900",2%, TizenUltra HD (4K) 3840 x 2160 Pixels,2023,1
626,ONIDA 43 cm , Ultra HD (4K,5,"27,159","35,990",24%,,2023,1
627,Lloyd 80 cm , HD Ready LED Smart TV with 32HS451C,None,"15,950","26,890",40%,,2021,1
628,Samtonic 80 cm , HD Ready LED Smart Linux TV with with HDMI & USB Ports (Black,5,"8,549","24,900",65%, LinuxHD Ready 1366X768 Pixels,2023,1
629,SAMSUNG 7 108 cm , Ultra HD (4K,4.3,"36,990","54,900",32%, TizenUltra HD (4K) 3840 x 2160 Pixels,2021,1
630,LG 165.1 cm , OLED Ultra HD (4K,None,"2,19,990","3,99,990",45%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2021,1
631,TOSHIBA 139 cm , QLED Ultra HD (4K,4.3,"38,999","69,999",44%, VIDAAUltra HD (4K) 3840 x 2160 Pixels,2024,2
632,SAMSUNG AU7700 189 cm , Ultra HD (4K,None,"1,25,990","2,24,900",43%, TizenUltra HD (4K) 3840 x 2160 Pixels,2022,1
633,Panasonic 139 cm , Ultra HD (4K,None,"67,459","1,29,990",48%, Google TVUltra HD (4K) 3840*2160 Pixels,2023,1
634,LG B9 138 cm , OLED Ultra HD (4K,4.5,"1,25,990","2,04,990",38%, WebOSUltra HD (4K) 3840 x 2160 Pixels,2019,1
